State,Up (fixed),Down (fixed),Up (mobile),Down (mobile)
Alabama,181.57,22.84,69.11,8.52
Alaska,83.37,19.61,34.89,7.88
Arizona,167.51,12.76,82.89,8.08
Arkansas,120.68,25.6,58.46,7.54
California,206.58,21.26,84.82,10.55
Colorado,184.75,19.42,82.76,8.89
Connecticut,232.4,27.23,86.41,10.21
Delaware,233.34,32.21,97.57,10.35
District of Columbia,188.42,25.94,98.61,14.23
Florida,223.7,22.73,76.87,8.46
Georgia,172.96,23.72,73.36,9.2
Hawaii,199.93,22.06,65.79,12.1
Idaho,122.48,24.53,76.51,9.51
Illinois,182.89,22.58,111.79,11.68
Indiana,187.24,23.48,90.39,8.85
Iowa,147.01,37.39,69.39,10.18
Kansas,176.78,35.64,91.62,9.13
Kentucky,184.33,22.7,68.55,8.84
Louisiana,165.94,21.04,57.7,7.86
Maine,182.86,11.83,56.61,7.21
Maryland,225.5,39.2,90.38,11.12
Massachusetts,221.85,23.63,99.5,12.88
Michigan,188.02,20.65,92.2,8.01
Minnesota,164.71,20.12,118.4,10.5
Mississippi,142.91,40.52,36.41,4.84
Missouri,173.14,22.26,85.02,8.29
Montana,105.06,11.3,54.69,7.96
Nebraska,174.28,24.19,65.06,10.59
Nevada,191.13,17.33,88.05,10.79
New Hampshire,217.45,23.66,64.75,8.62
New Jersey,230.49,36.78,111.15,13.97
New Mexico,126.41,13.47,50.28,8.88
New York,222.38,25.58,104.33,15.03
North Carolina,214.44,22.14,73.07,7.96
North Dakota,200.9,52.04,71.24,11.06
Ohio,204.75,19.34,97.84,9.6
Oklahoma,153.97,29.93,62.42,9
Oregon,179.3,20.56,83.28,8.24
Pennsylvania,197.34,23.51,97.41,10.84
Rhode Island,234.25,36.92,120.76,14.2
South Carolina,302.36,22.49,84.9,9.05
South Dakota,172.3,33.17,66.04,11
Tennessee,203.45,29.75,77.41,9.01
Texas,202.55,23.6,74.98,8.45
Utah,190.13,28.88,94.27,11.11
Vermont,126.44,21.82,48.69,5.43
Virginia,197.24,36.23,72.96,9.54
Washington,179.73,17.82,90.57,9.53
West Virginia,151.43,21.37,51.2,7.95
Wisconsin,158.49,17.65,67.02,7.62
Wyoming,94.67,13.38,41.54,6.24
